name,biography,photo,birth_date,death_date,nationality
Barbara Constantine,"Nhà văn, nhà biên kịch người Pháp. Bà nổi tiếng với những cuốn tiểu thuyết nhẹ nhàng, hài hước và đầy tính nhân văn về tình cảm gia đình.",,1955-01-01,,Pháp
Barry J. Nalebuff,Giáo sư kinh tế và quản lý tại Đại học Yale. Chuyên gia về lý thuyết trò chơi và chiến lược kinh doanh. Đồng tác giả cuốn sách nổi tiếng 'Tư duy chiến lược'.,,1958-11-07,,Hoa Kỳ
Barry Nalebuff,Giáo sư kinh tế và quản lý tại Đại học Yale. Chuyên gia về lý thuyết trò chơi và chiến lược kinh doanh. Đồng tác giả cuốn sách nổi tiếng 'Tư duy chiến lược'.,,1958-11-07,,Hoa Kỳ
Becky Sheetz Runkle,Tác giả và diễn giả chuyên về các chủ đề tiếp thị chiến lược và lãnh đạo.,,,,Hoa Kỳ
Ben S. Bernanke,"Nhà kinh tế học người Mỹ, Chủ tịch Cục Dự trữ Liên bang Hoa Kỳ (FED) từ 2006-2014. Ông nhận giải Nobel Kinh tế năm 2022.",,1953-12-13,,Hoa Kỳ
Ben Sanders,"Nhà văn trinh thám người New Zealand, tác giả của các tiểu thuyết tội phạm ăn khách như 'American Blood' và 'Marshall's Law'.",,,,New Zealand
Benjamin Franklin,"Một trong những Người cha lập quốc của Hoa Kỳ. Ông là một chính trị gia, nhà khoa học, nhà văn, thợ in, triết gia, nhà phát minh và nhà ngoại giao hàng đầu.",,,,Hoa Kỳ
Benjamin Hardy,"Tiến sĩ tâm lý học tổ chức, tác giả của các cuốn sách bán chạy về phát triển bản thân như 'Willpower Doesn't Work' và 'Personality Isn't Permanent'.",,,,Hoa Kỳ
Bertolt Brecht,"Nhà thơ, nhà soạn kịch, đạo diễn sân khấu người Đức. Ông là người sáng tạo ra thể loại kịch 'sân khấu sử thi', có ảnh hưởng lớn đến nghệ thuật sân khấu thế giới.",,,1956-08-14,Đức
Bessatsu Takarajima,"Thương hiệu tạp chí và sách của nhà xuất bản Takarajima (Nhật Bản), chuyên về các chủ đề văn hóa đại chúng, bí ẩn và kiến thức xã hội.",,,,Nhật Bản
Beth Wood,"Chuyên gia tâm lý và tác giả sách về phát triển bản thân, chữa lành và vượt qua nghịch cảnh.",,,,Anh
Betty Smith,"Nhà văn, nhà viết kịch người Mỹ. Tác phẩm nổi tiếng nhất của bà là 'A Tree Grows in Brooklyn' (Cây lớn ở Brooklyn), một cuốn tiểu thuyết kinh điển.",,,1972-01-17,Hoa Kỳ
Bill Bryson,"Nhà văn người Mỹ-Anh, nổi tiếng với các cuốn sách du ký hài hước và sách phổ biến kiến thức khoa học. Tác giả của 'A Short History of Nearly Everything'.",,1951-08-12,,Hoa Kỳ
Bill Gates,"Nhà sáng lập Microsoft, tỷ phú, nhà từ thiện và tác giả người Mỹ. Ông viết nhiều sách về công nghệ, kinh doanh và các vấn đề toàn cầu.",,1955-10-28,,Hoa Kỳ
Carl Gustave Jung,"Bác sĩ tâm thần, nhà tâm lý học Thụy Sĩ. Ông sáng lập trường phái tâm lý học phân tích và đưa ra các khái niệm như 'hướng nội/hướng ngoại', 'vô thức tập thể'.",,,1961-06-06,Thụy Sĩ
Carl Jung,"Bác sĩ tâm thần, nhà tâm lý học Thụy Sĩ. Ông sáng lập trường phái tâm lý học phân tích và đưa ra các khái niệm như 'hướng nội/hướng ngoại', 'vô thức tập thể'.",,,1961-06-06,Thụy Sĩ
Carlo Collodi,"Nhà văn Ý, nổi tiếng thế giới với tác phẩm văn học thiếu nhi kinh điển 'Những cuộc phiêu lưu của Pinocchio'.",,,,Ý
Carlos Ruiz Zafón,"Nhà văn Tây Ban Nha, tác giả của cuốn tiểu thuyết bán chạy toàn cầu 'Bóng hình của gió' (The Shadow of the Wind).",,1964-09-25,2020-06-19,Tây Ban Nha
Carol Davidson Cragoe,Nhà sử học kiến trúc và tác giả người Anh. Bà chuyên viết các cuốn sách hướng dẫn tìm hiểu về kiến trúc và các công trình xây dựng.,,,,Anh
Carol S.Dweck,Giáo sư Tâm lý học tại Đại học Stanford. Bà nổi tiếng với lý thuyết về 'Tư duy phát triển' (Growth Mindset) so với 'Tư duy cố định'.,,1946-10-17,,Hoa Kỳ
Carson McCullers,"Nhà văn, nhà thơ, nhà viết kịch người Mỹ. Tác phẩm nổi tiếng nhất của bà là 'The Heart Is a Lonely Hunter'.",,1917-02-19,1967-09-29,Hoa Kỳ
Cass R. Sunstein,"Học giả pháp lý người Mỹ, giáo sư Đại học Harvard. Ông là đồng tác giả của cuốn sách kinh tế học hành vi nổi tiếng 'Nudge' (Cú hích).",,1954-09-21,,Hoa Kỳ
Catherine Ingram,Tác giả và giáo viên Phật giáo người Mỹ. Bà chuyên giảng dạy về Pháp thoại (Dharma) và viết sách về chánh niệm.,,1952-01-01,,Hoa Kỳ
Catherine Whitney,"Nhà văn, biên tập viên người Mỹ. Bà thường cộng tác viết sách (co-author) với nhiều chuyên gia trong các lĩnh vực sức khỏe, tâm lý và kinh doanh.",,1950-01-01,,Hoa Kỳ
Celeste Headlee,"Nhà báo phát thanh, diễn giả và tác giả người Mỹ. Bà nổi tiếng với cuốn sách và bài nói chuyện TED về nghệ thuật giao tiếp 'We Need to Talk'.",,1969-12-30,,Hoa Kỳ
Celine Dion,"Diva âm nhạc thế giới người Canada. Ngoài sự nghiệp ca hát lẫy lừng, bà cũng là tác giả của cuốn tự truyện chia sẻ về cuộc đời và sự nghiệp.",,1968-03-30,,Canada
Chade-Meng Tan,"Kỹ sư phần mềm, tác giả và nhà từ thiện. Cựu nhân viên Google, nổi tiếng với khóa học thiền định và trí tuệ cảm xúc 'Search Inside Yourself'.",,1971-01-01,,Singapore
Chan Ho-Kei,Nhà văn trinh thám người Hồng Kông. Tác giả của cuốn tiểu thuyết trinh thám nổi tiếng 'The 13.67' (Người trong lưới).,,1975-01-01,,Hồng Kông
Charles Dow,"Nhà báo tài chính người Mỹ, người đồng sáng lập Dow Jones & Company và The Wall Street Journal. Ông là cha đẻ của Phân tích kỹ thuật chứng khoán.",,,1902-04-12,Hoa Kỳ
Charles Duhigg,"Nhà báo, tác giả người Mỹ đoạt giải Pulitzer. Ông nổi tiếng với các cuốn sách về năng suất và thói quen như 'Sức mạnh của thói quen' (The Power of Habit).",,1974-01-01,,Hoa Kỳ
Charles Seife,"Giáo sư báo chí tại Đại học New York, tác giả các cuốn sách phổ biến khoa học và toán học như 'Zero: The Biography of a Dangerous Idea'.",,1972-01-01,,Hoa Kỳ
Charlotte Bronte,"Tiểu thuyết gia người Anh, chị cả trong gia đình Bronte văn học. Tác giả của cuốn tiểu thuyết kinh điển 'Jane Eyre'.",,,,Vương quốc Liên hiệp Anh và Ireland
Charlotte Brontë,"Charlotte Brontë (/ˈbrɒnti/) (21 tháng 4 năm 1816 – 31 tháng 3 năm 1855) là một tiểu thuyết gia Anh, là chị cả trong 3 chị em nổi tiếng Brontë, tác giả của những tiểu thuyết xếp vào hàng kinh điển của văn học Anh. Charlotte Brontë, người dùng bút danh Currer Bell, được biết đến với Jane Eyre, một trong những tiểu thuyết tiếng Anh nổi tiếng nhất mọi thời đại....",,,,Vương quốc Liên hiệp Anh và Ireland
Charlotte Gerson,"Con gái của bác sĩ Max Gerson, người sáng lập Viện Gerson. Bà dành cả cuộc đời để tiếp nối di sản của cha mình và phổ biến liệu pháp Gerson trong điều trị ung thư và bệnh mãn tính.",,1922-03-27,2019-10-02,Đức
Cheng,"Tác giả trẻ Trung Quốc, nổi tiếng với các cuốn tản văn nhẹ nhàng, sâu lắng về tình yêu và sự trưởng thành (Ví dụ: 'Nguy hiểm nhất là lối về nhà').",,,,Trung Quốc
Chica Umino,"Họa sĩ truyện tranh Nhật Bản, tác giả của 'Honey and Clover' và 'Sư tử tháng 3'. Các tác phẩm của cô thường mang nét vẽ mềm mại và cốt truyện giàu cảm xúc.",,1980-08-30,,Nhật Bản
Chieko Hosokawa,"Họa sĩ truyện tranh gạo cội Nhật Bản, nổi tiếng toàn châu Á với bộ truyện 'Nữ hoàng Ai Cập' (Ouke no Monshou), sáng tác từ năm 1976 đến nay.",,1935-01-01,,Nhật Bản
Chin-Ning Chu,"Nhà tư vấn kinh doanh, diễn giả và tác giả người Mỹ gốc Hoa. Bà nổi tiếng với các cuốn sách áp dụng binh pháp Á Đông vào kinh doanh như 'Mặt dày, Tâm đen'.",,1947-01-01,2009-10-12,Hoa Kỳ
Chip Conley,"Doanh nhân khách sạn, tác giả và diễn giả người Mỹ. Ông là người tiên phong trong mô hình 'Modern Elder' (Lão trượng hiện đại) tại nơi làm việc.",,1960-10-31,,Hoa Kỳ
Choi Byeong-Guk,Tác giả chuyên biên soạn truyện tranh khoa học và giáo dục dành cho thiếu nhi tại Hàn Quốc.,,,,Hàn Quốc
Chris McChesney,Tác giả và chuyên gia tư vấn quản trị. Ông là đồng tác giả của cuốn sách bán chạy '4 nguyên tắc thực thi' (The 4 Disciplines of Execution).,,,,Hoa Kỳ
Chris Miller,"Giáo sư Lịch sử Quốc tế tại Đại học Tufts. Tác giả của cuốn sách đạt giải thưởng 'Chip War' (Cuộc chiến vi mạch), phân tích về địa chính trị công nghệ.",,,,Hoa Kỳ
Chris Voss,"Cựu chuyên gia đàm phán con tin hàng đầu của FBI, hiện là CEO của The Black Swan Group. Tác giả cuốn sách kinh điển về đàm phán 'Never Split the Difference'.",,1957-11-28,,Hoa Kỳ
Chris-Anne,"Nghệ sĩ, nhà thiết kế và người sáng tạo các bộ bài Tarot hiện đại (như The Muse Tarot, The Light Seer's Tarot) với phong cách nghệ thuật độc đáo.",,,,Canada
Christina Sungaie Choi,"Chuyên gia trang điểm và tác giả sách, nổi tiếng với việc tôn vinh vẻ đẹp tự nhiên và sự tự tin của phụ nữ.",,,,Hoa Kỳ
Christine Paxmann,"Nhà văn, nhà báo và chuyên gia về sách thiếu nhi người Đức. Bà viết nhiều sách tranh và sách kiến thức cho trẻ em.",,1961-01-01,,Đức
Christopher Renstrom,"Nhà chiêm tinh học nổi tiếng, tác giả của các cột báo chiêm tinh và sách hướng dẫn về lịch sử và ứng dụng của chiêm tinh học.",,,,Hoa Kỳ
Christy Lefteri,Tiểu thuyết gia người Anh gốc đảo Cyprus. Tác giả của cuốn sách bán chạy 'Người nuôi ong thành Aleppo' nói về thân phận người tị nạn.,,1980-01-01,,Anh
Chu Vân,"Nhà văn, học giả nổi tiếng (Thông tin chi tiết đang cập nhật, có thể trùng tên nhiều tác giả).",,1922-12-22,1994-07-17,Trung Quốc
ChungBe Studios,"Studio nghệ thuật Hàn Quốc, chịu trách nhiệm minh họa và chuyển thể các tác phẩm webnovel thành webtoon (truyện tranh mạng), tiêu biểu là các dự án hành động.",,,,Hàn Quốc
Châu Sa Đáy Mắt,Tác giả/Bút danh văn học mạng. (Lưu ý: Có thể là tên sách bị nhầm lẫn thành tên tác giả trong quá trình trích xuất dữ liệu).,,,,
Châu Văn Văn,"Nhà văn nữ nổi tiếng Hồng Kông, chuyên viết văn học thiếu nhi và lịch sử. Bà từng đoạt giải thưởng Sách hay nhất dành cho thanh thiếu niên.",,,,Hồng Kông
Chí Tinh,"Dịch giả uy tín tại Việt Nam, chuyên chuyển ngữ các tác phẩm văn học và sách kỹ năng nước ngoài.",,,,Việt Nam
Chương Nam,"Tác giả/Dịch giả Việt Nam, chuyên về các dòng sách văn hóa, lịch sử hoặc kỹ năng sống.",,,,Việt Nam
Clint Emerson,Cựu lính đặc nhiệm SEAL của Hải quân Mỹ (Navy SEAL). Tác giả cuốn sách bán chạy 'Mật vụ giải mã' (100 Deadly Skills) về kỹ năng sinh tồn.,,,,Hoa Kỳ
Cole Nussbaumer Knaflic,"Chuyên gia phân tích dữ liệu, cựu nhân viên Google. Bà nổi tiếng với cuốn sách 'Storytelling with Data' hướng dẫn cách kể chuyện thông qua số liệu.",,1980-01-01,,Hoa Kỳ
Colin Towell,"Chuyên gia sinh tồn người Anh, cựu huấn luyện viên kỹ năng sống sót của quân đội. Tác giả nhiều sách cẩm nang sinh tồn của DK.",,,,Anh
Colleen Mccullough,"Nhà văn Úc, tác giả của tiểu thuyết kinh điển 'Tiếng chim hót trong bụi mận gai' (The Thorn Birds). Trước khi viết văn, bà là nhà nghiên cứu thần kinh học.",,1937-01-06,2015-01-29,Úc
Collins,"(HarperCollins/Collins Dictionaries) Một trong những nhà xuất bản lớn nhất thế giới, đặc biệt nổi tiếng với các dòng từ điển và sách học ngoại ngữ uy tín.",,,,Anh
Colson Whitehead,"Tiểu thuyết gia người Mỹ, hai lần đoạt giải Pulitzer (2017, 2020). Nổi tiếng với các tác phẩm 'Tuyến hỏa xa ngầm' và 'The Nickel Boys'.",,1969-06-11,,Hoa Kỳ
Cornell Woolrich,"Nhà văn trinh thám người Mỹ, cha đẻ của dòng tiểu thuyết đen (noir fiction). Nhiều tác phẩm của ông đã được Alfred Hitchcock chuyển thể thành phim.",,1903-04-12,1968-09-25,Hoa Kỳ
Craig Christensen,"Tác giả và nhà lãnh đạo tư tưởng, thường cộng tác với FranklinCovey trong các cuốn sách về lãnh đạo và phát triển bản thân.",,,,Hoa Kỳ
Craig Mundie,"Doanh nhân công nghệ người Mỹ, cựu Giám đốc Nghiên cứu và Chiến lược tại Microsoft. Ông chuyên sâu về chính sách công nghệ và đổi mới sáng tạo.",,1949-01-07,,Hoa Kỳ
Các cố vấn Rich Dad,"Nhóm các chuyên gia (Kế toán, Luật sư, Nhà đầu tư...) được Robert Kiyosaki tập hợp để tư vấn chuyên sâu về các khía cạnh của tự do tài chính.",,,,Hoa Kỳ
Câu lạc bộ Trẻ em,"Nhóm tác giả và biên tập viên chuyên tuyển chọn, biên soạn truyện kể và sách kỹ năng dành cho thiếu nhi.",,,,Việt Nam
Cù Thanh Toàn,"Tác giả/Dịch giả Việt Nam, thường tham gia biên soạn các cuốn sách về văn hóa, giáo dục.",,,,Việt Nam
Cú Mèo của Lão Dương,"Tác giả văn học mạng Trung Quốc, nổi tiếng với phong cách viết hài hước, châm biếm và các tác phẩm ngôn tình hiện đại.",,,,Trung Quốc
Cương Tuyết Ấn,"Nhà văn trinh thám, kinh dị Trung Quốc. Tác phẩm của ông thường mang màu sắc bí ẩn và các yếu tố tâm lý tội phạm.",,,,Trung Quốc
D.H. Lawrence,"Nhà văn, nhà thơ người Anh. Tác phẩm của ông nổi tiếng vì sự phản kháng lại sự vô cảm của công nghiệp hóa và đề cao bản năng tự nhiên (Ví dụ: Người tình của phu nhân Chatterley).",,,1930-02-03,Anh
DANIEL YERGIN,"Chuyên gia năng lượng và kinh tế toàn cầu. Ông đoạt giải Pulitzer cho cuốn sách 'Dầu mỏ, Tiền bạc và Quyền lực' (The Prize).",,1947-06-02,,Hoa Kỳ
DD.Watkins,"Nhà văn, giảng viên đại học người Mỹ. Ông viết nhiều về các vấn đề xã hội, chủng tộc và trải nghiệm của người da màu tại Mỹ.",,,,Hoa Kỳ
DK Publishing,"(Dorling Kindersley) Nhà xuất bản đa quốc gia của Anh, nổi tiếng thế giới với các dòng sách tham khảo có minh họa trực quan, sống động về khoa học, đời sống và giáo dục.",,1974-01-01,,Anh
Daisuke Sasaki,Tác giả/Họa sĩ truyện tranh Nhật Bản (Mangaka).,,,,Nhật Bản
Dale Carnegie,"Nhà văn và nhà thuyết trình Mỹ, người phát triển các lớp tự giáo dục, nghệ thuật bán hàng và kỹ năng giao tiếp. Tác giả cuốn sách bán chạy nhất mọi thời đại 'Đắc Nhân Tâm'.",,,1955-01-11,Hoa Kỳ
Damon Zahariades,Chuyên gia về năng suất và quản lý thời gian. Tác giả của các cuốn sách hướng dẫn thực tế về cách làm việc hiệu quả và giảm căng thẳng.,,,,Hoa Kỳ
Dan Ariely,Giáo sư tâm lý học và kinh tế học hành vi người Mỹ gốc Israel. Tác giả của các cuốn sách nổi tiếng như 'Phi lý trí' (Predictably Irrational).,,1967-04-29,,Hoa Kỳ
Dan Jones,"Nhà sử học, nhà báo và người dẫn chương trình truyền hình người Anh. Ông chuyên viết về lịch sử trung đại, bao gồm các cuốn sách về Hiệp sĩ Templar và các vị vua Plantagenet.",,1981-07-27,,Anh
Dan S. Kennedy,"Chuyên gia tư vấn marketing, copywriter và diễn giả nổi tiếng. Ông được mệnh danh là 'triệu phú tạo ra triệu phú' với các chiến lược marketing trực tiếp.",,1954-01-01,,Hoa Kỳ
